EthUnfav,Clinton,Sanders,Carson,Trump,Rubio,Cruz
Men,66,41,30,45,27,31
Women,54,32,38,54,26,34
White ,60,36,34,50,26,33
Black,14,11,45,87,33,38
Hispanic,27,16,25,84,42,33
