AgeUnfav,Clinton,Sanders,Carson,Trump,Rubio,Cruz,Bush,Christie,Fiorina,Huckabee,Kasich
18,48,22,33,69,22,24,55,42,18,26,19
35,50,30,13,57,33,38,54,53,34,47,18
50,48,32,54,56,32,40,59,53,35,51,23
65,57,40,32,49,23,28,51,40,28,37,30
