EthFav,Clinton,Sanders,Carson,Trump,Rubio,Cruz
Men,30,39,49,47,46,42
Women,41,43,41,36,38,33
White ,35,41,45,42,42,38
Black,84,57,22,9,21,15
Hispanic,64,60,20,9,22,25
