AgeFav,Clinton,Sanders,Carson,Trump,Rubio,Cruz,Bush,Christie,Fiorina,Huckabee,Kasich
18,44,59,31,23,27,25,24,23,21,19,5
35,45,43,37,36,34,31,32,21,20,32,18
50,48,43,42,39,38,33,32,30,33,25,24
65,39,32,49,39,48,43,35,36,37,40,27
